Address	Arkham - Entity	Arkham - Twitter	Arkham - Tags
0x0cf4b39f4b2092d7b4a032b7b08c1136df2b08a1			Contract Deployer, Uniswap V3 Pool Deployer, Contract Deployer, ERC721 Token Deployer
0x6981378e696b0dd0e585d4d519c98b8a2c5bc020	DeFi Money Market	https://twitter.com/DMMDAO	Contract Deployer, Contract Deployer, Early EPS Holder, Early WATCH Holder, Early KALM Holder, Early ALPACA Holder, Early WSG Holder, Early MOOO Holder, Early SCRL Holder, Early STG Holder, Early ICE Holder, Early BURGER Holder, Early BELT Holder, Early BANANA Holder, "wenmooncx" on OpenSea, Contract Deployer, jedric.eth Prev. Owner, jedric.eth Prev. Manager, Early ARMOR Holder, Early FVT Holder, Early HEMULE Holder, Early VIRTUAL Holder, Early XTK Holder, Early DFP2 Holder, Early ENS Holder, Early UNI Holder, Early CHAIN Holder, Early BNSD Holder, Early MFT Holder, Early SWRV Holder, Early UDO Holder, Early BADGER Holder, Early FXS Holder, Early SUSHI Holder, Early RAIL Holder, Early SRM Holder, Early SASHIMI Holder, Early LUSD Holder, Early ICE Holder, Early DEC Holder, Early LAYER Holder, Early COFI Holder, Early BAC Holder, Early GEEQ Holder, Early NEXO Holder, Early ESS Holder, Early LQTY Holder, Early FRAX Holder, Early GOF Holder, Early FARM Holder, Early STG Holder, Early CRV Holder, Early PNL Holder, Early HAKA Holder, Early CREAM Holder, Early X2Y2 Holder, Early PICKLE Holder, Early O3 Holder, Early YFII Holder, Early CONV Holder, Early BDP Holder, Early KONO Holder, Early GAS Holder, Early LIEN Holder, Early PLOT Holder, Early RFUEL Holder, Early DDOS Holder, Early OLT Holder, Early DORA Holder, Early ALD Holder, Early UFT Holder, Early LINA Holder, Early SAKE Holder, Early TRIBE Holder, Early YFI Holder, Early MUSE Holder, Early IOTX Holder, Early BALPHA Holder, Early TRADE Holder, Early SOS Holder, Early 1INCH Holder, Early GRT Holder, Early PERI Holder, Early EBOX Holder, Early DUCK Holder, Early MINT Holder, Tokenized ETH2 Staker, Contract Deployer, Contract Deployer, Early BCT Holder, Early DINO Holder
0x16224283be3f7c0245d9d259ea82ead7fcb8343d			Early ACRE Holder, Early ANIME Holder, Early STG Holder, otcdeal.eth, "LikeToTradeNFT" on OpenSea, ERC20 Token Deployer, SushiSwap V2 Pool Deployer, Contract Deployer, 79427.eth Manager, whathappenedsbf.eth Owner, liketotradenft.eth Owner, letethburn.eth Manager, whathappenedsbf.eth Manager, otcdeal.eth Manager, buyensdomain.eth Manager, argentina18122022.eth Manager, 79172.eth Manager, 74391.eth Manager, 79574.eth Manager, 79381.eth Manager, 86473.eth Manager, metaversesluts.eth Manager, 79475.eth Manager, messi18122022.eth Manager, 79451.eth Manager, 74528.eth Manager, 74591.eth Manager, 79184.eth Manager, liketotradenft.eth Manager, 79364.eth Manager, 79206.eth Manager, 79465.eth Manager, 86437.eth Manager, pythoncoding.eth Manager, 86471.eth Manager, 79382.eth Manager, 79481.eth Manager, 74378.eth Manager, 74528.eth Prev. Owner, 79381.eth Prev. Owner, 79362.eth Prev. Owner, 75278.eth Prev. Owner, 86471.eth Prev. Owner, 79574.eth Prev. Owner, letethburn.eth Prev. Owner, 74591.eth Prev. Owner, 79475.eth Prev. Owner, 79382.eth Prev. Owner, deployingmorecapital.eth Prev. Owner, 79206.eth Prev. Owner, 74378.eth Prev. Owner, 79451.eth Prev. Owner, 79183.eth Prev. Owner, 79465.eth Prev. Owner, 74391.eth Prev. Owner, 79427.eth Prev. Owner, 86473.eth Prev. Owner, 86437.eth Prev. Owner, 79184.eth Prev. Owner, 79364.eth Prev. Owner, 79172.eth Prev. Owner, otcdeal.eth Prev. Owner, 79481.eth Prev. Owner, 79183.eth Prev. Manager, 75278.eth Prev. Manager, deployingmorecapital.eth Prev. Manager, 79362.eth Prev. Manager, pythoncoding.eth Owner, metaversesluts.eth Owner, buyensdomain.eth Owner, messi18122022.eth Owner, argentina18122022.eth Owner, Early SIPHER Holder, Early PENDLE Holder, Early DHT Holder, Early PERP Holder, Early GAS Holder, Early BAC Holder, Early SOS Holder, Early UNI Holder, Early GHST Holder, Early BADGER Holder, Early RAI Holder, Early UFT Holder, Early KINE Holder, Early KP3R Holder, Early 1INCH Holder, Early XDEFI Holder, Early HGET Holder, Early GEAR Holder, Early SASHIMI Holder, Early SUSHI Holder, Early MASK Holder, Early RSS3 Holder, Early BPT Holder, Early DIGG Holder, Early ENS Holder, Early LMT Holder, Early ILV Holder, BLUR Airdrop Recipient, Tokenized ETH2 Staker
0x0a4de625aa7624dd72cb09a41a6e52fce1993310			Contract Deployer, ERC20 Token Deployer, Contract Deployer, ERC721 Token Deployer, Early DUDE Holder, OpenSea User, tesar.eth, sudoswap Pool Deployer, Contract Deployer, MultiSig Deployer, tesar.eth Manager, kuba.tesar.eth Manager, tesar.eth Prev. Owner, Early BED Holder, Early MVI Holder, Early BANK Holder, Early AAVE Holder, Early PUSH Holder, BLUR Airdrop Recipient, Tokenized ETH2 Staker, Contract Deployer, Contract Deployer, ERC20 Token Deployer, Optimism Governance Delegator, Contract Deployer, ERC20 Token Deployer
0xba4ba857bc1c828ce412503b0d5fba237619d4de			Contract Deployer, ERC20 Token Deployer, OpenSea User
0xa567501abf12f401c9e613b6323c43cf29b0f92c			Questbook ARB DAO GRANTS Governance Delegator, PL Arb Grants Safety Governance Delegator, Arbitrum Treasury Governance Delegator, Arbitrum Core Governance Delegator, Contract Deployer, Early COQ Holder, Early ANIME Holder, OpenSea User, aoi-jp.eth, Contract Deployer, Beacon Depositor, aoi-jp.eth Manager, aoi-jp.eth Owner, Diva Staking Governance Delegator, Aave Governance Voter, MEV Fee Recipient, ARKM Airdrop Recipient, Tokenized ETH2 Staker, Contract Deployer
0x6800304b221660f23f382cf5ec42ab2dfc66890f			Early ACRE Holder, Early ICE Holder, "TooOrangey" on OpenSea, Contract Deployer, clemency.eth Owner, clemency.eth Manager, venturo.eth Owner, Early UNI Holder, Early VALUE Holder, Early DIGG Holder, Early 1INCH Holder, Early SOS Holder, Ukraine Donations Donor, Early BADGER Holder, Early SDT Holder, Tokenized ETH2 Staker, Optimism Governance Delegator
0xabe121187734d635505f3d4003e1738dc39ee3ac			Tokenized ETH2 Staker
0x22b2ccb53963da600c83191db1ce3f61f92dcf45	@jjssppkr	https://twitter.com/jjssppkr	Individual, Contract Deployer, Early NPM Holder, Tokenized ETH2 Staker, Individual, Early XETA Holder, Individual, Contract Deployer, Early DUDE Holder, Individual, Input Data Messenger, Contract Deployer, Early ID Holder, Early PLAY Holder, Individual, justsfeel.eth, "justsfeel" on OpenSea, Input Data Messenger, Contract Deployer, sudoswap Pool Deployer, MultiSig Deployer, ERC721 Token Deployer, sirgoo.eth Manager, justsfeel.eth Owner, 💵💰💸🚀🌕.eth Owner, sirgoo.eth Owner, timeswap.justsfeel.eth Manager, layer3.justsfeel.eth Manager, 💵💰💸🚀🌕.eth Manager, rocketpool.justsfeel.eth Manager, justsfeel.eth Manager, Early TRIBE Holder, Early BFC Holder, Early RADAR Holder, Early SOS Holder, Early SPA Holder, Early DZOO Holder, Ukraine Donations Donor, Snapshot Delegator to 0x86C62a0DD8690fa2Ba6e3E3D9A18D021dBd2565A, Compound Governance Delegator, Uniswap Governance Delegator, PoolTogether Governance Delegator, Uniswap Governance Voter, Compound Governance Voter, ARKM Airdrop Recipient, BLUR Airdrop Recipient, Tokenized ETH2 Staker, Individual, Individual, Individual, Individual, Contract Deployer, ERC721 Token Deployer, Optimism Governance Delegator, Tokenized ETH2 Staker, Individual, Contract Deployer, ERC721 Token Deployer, ERC20 Token Deployer
0x90f0ff57a6e28a66d400c2cde8ab885e9dcb0a23			Contract Deployer, OpenSea User, Tokenized ETH2 Staker, Contract Deployer, QuickSwap V3 Pool Deployer
0xbb8eeb1b3494e123144ce38e1aac8f7b96b5efa5			Contract Deployer, Early ACRE Holder, Contract Deployer, ERC20 Token Deployer, "rekd" on OpenSea, williamx.eth, sudoswap Pool Deployer, ERC20 Token Deployer, Contract Deployer, MultiSig Deployer, williamx.eth Manager, gradientprotocol.eth Owner, mark11.eth Manager, gradientprotocol.eth Manager, williamx.eth Owner, mark11.eth Prev. Owner, Early PAL Holder, Ukraine Donations Donor, Early ENS Holder, Early GEAR Holder, Rari Capital Governance Voter, Snapshot Delegator to 0xc290Cfb8D020c0615e9C63036f4319Cc41717E68, Snapshot Delegator to 0xFA7513021002F7181333B773BF801DFD7fd91ce7, Rari Capital Governance Delegator, BLUR Airdrop Recipient, Tokenized ETH2 Staker, Contract Deployer, ERC721 Token Deployer, Contract Deployer
0x0cac11a7d29ab8c87d8fedb9cc736146f4fe8e84	@erkancamli4	https://twitter.com/erkancamli4	Individual, Contract Deployer, MultiSig Deployer, Questbook ARB DAO GRANTS Governance Delegator, Arbitrum Treasury Governance Delegator, Arbitrum Core Governance Delegator, PL Arb Grants Safety Governance Delegator, Individual, Early HEC Holder, Early CLY Holder, Individual, Contract Deployer, MultiSig Deployer, ERC721 Token Deployer, ERC20 Token Deployer, Early BASED Holder, Early DUDE Holder, Individual, Early WSG Holder, Early KAKA Holder, Early TRY Holder, Early WANA Holder, Early ID Holder, Individual, ecamli.eth, "e_camli" on OpenSea, MultiSig Deployer, Contract Deployer, fb.ecamli.eth Manager, ecamli.eth Manager, ecamli.eth Owner, Early ML Holder, ARKM Airdrop Recipient, Tokenized ETH2 Staker, Individual, Individual, Contract Deployer, ERC20 Token Deployer, Individual, Contract Deployer, Individual, Contract Deployer, ERC721 Token Deployer, MultiSig Deployer, Optimism Governance Delegator, Individual, Contract Deployer, MultiSig Deployer, ERC20 Token Deployer
0xef6f52daaf4d942438ed2b99443a37650468ad27			OpenSea User, Contract Deployer, ERC1155 Token Deployer, ERC721 Token Deployer, BLUR Airdrop Recipient, Optimism Governance Delegator
